SPECIES,Seq_ID
Stenotrophomonas maltophilia,GCF_900186865.1
Klebsiella aerogenes,GCF_000215745.1
Klebsiella aerogenes,GCF_019048125.1
Yersinia enterocolitica,GCF_000253175.1
Yersinia enterocolitica,GCF_000755055.1
Yersinia enterocolitica,GCF_001598735.1
Yersinia enterocolitica,GCF_900637005.1
Yersinia enterocolitica,GCF_901472495.1
Vibrio parahaemolyticus,GCF_000813305.1
Vibrio parahaemolyticus,GCF_001011015.1
Vibrio parahaemolyticus,GCF_001558495.2
Vibrio parahaemolyticus,GCF_001998785.1
Vibrio parahaemolyticus,GCF_900460535.1
Proteus mirabilis,GCF_000160755.1
Acinetobacter baumannii,GCF_000162295.1
Acinetobacter baumannii,GCF_000369385.1
Acinetobacter baumannii,GCF_000737145.1
Acinetobacter baumannii,GCF_002811175.1
Acinetobacter baumannii,GCF_009035845.1
Acinetobacter baumannii,GCF_009759685.1
Acinetobacter baumannii,GCF_014116795.1
Acinetobacter baumannii,GCF_014672755.1
Acinetobacter baumannii,GCF_017090145.1
Acinetobacter baumannii,GCF_019331655.1
Acinetobacter baumannii,GCF_020911985.1
Acinetobacter baumannii,GCF_022870045.1
Acinetobacter baumannii,GCF_900011295.1
Acinetobacter baumannii,GCF_900444725.1
Corynebacterium diphtheriae,GCF_001457455.1
Corynebacterium diphtheriae,GCF_001913265.1
Corynebacterium diphtheriae,GCF_020736085.1
Corynebacterium diphtheriae,GCF_902809765.1
Shigella boydii,GCF_003572535.1
Shigella boydii,GCF_016726285.1
Shigella boydii,GCF_900457095.1
Staphylococcus capitis,GCF_002901925.1
Staphylococcus capitis,GCF_002902325.1
Staphylococcus capitis,GCF_014635765.1
Staphylococcus capitis,GCF_901482635.1
Yersinia pseudotuberculosis,GCF_900637475.1
Citrobacter freundii,GCF_000312465.1
Citrobacter freundii,GCF_000734905.1
Citrobacter freundii,GCF_000759735.1
Citrobacter freundii,GCF_011064845.1
Herbaspirillum seropedicae,GCF_001040945.1
Herbaspirillum seropedicae,GCF_013180375.1
Enterobacter kobei,GCF_001729765.1
Morganella morganii,GCF_001598895.1
Morganella morganii,GCF_006094455.1
Morganella morganii,GCF_019243775.1
Vibrio cholerae,GCF_000621645.1
Vibrio cholerae,GCF_001471585.2
Klebsiella oxytoca,GCF_001598695.1
Klebsiella oxytoca,GCF_020115535.1
Klebsiella oxytoca,GCF_900636985.1
Klebsiella variicola,GCF_000828055.2
Klebsiella variicola,GCF_017638945.1
Klebsiella variicola,GCF_020115545.1
Klebsiella variicola,GCF_020525545.1
Klebsiella variicola,GCF_900978195.1
Nocardia nova,GCF_001613005.1
Legionella anisa,GCF_001467525.1
Legionella anisa,GCF_002082905.2
Legionella anisa,GCF_019930885.1
Legionella anisa,GCF_900639785.1
Nocardia cyriacigeorgica,GCF_000308555.1
Nocardia cyriacigeorgica,GCF_005863225.1
Nocardia brasiliensis,GCF_000308475.2
Nocardia brasiliensis,GCF_900454265.1
Staphylococcus lugdunensis,GCF_002901705.1
Staphylococcus lugdunensis,GCF_900478255.1
Burkholderia cenocepacia,GCF_900446215.1
Enterobacter roggenkampii,GCF_001729805.1
Enterobacter roggenkampii,GCF_019047025.1
Bacillus cereus,GCF_000007825.1
Bacillus cereus,GCF_002014665.1
Bacillus cereus,GCF_006094295.1
Bacillus cereus,GCF_900445355.1
Enterobacter cloacae,GCF_000025565.1
Enterobacter cloacae,GCF_000755525.1
Enterobacter cloacae,GCF_001299075.1
Enterobacter cloacae,GCF_001997105.1
Enterobacter cloacae,GCF_009660455.1
Enterobacter cloacae,GCF_013376815.1
Enterobacter cloacae,GCF_019047105.1
Enterobacter cloacae,GCF_021469225.1
Mycobacteroides abscessus,GCF_000069185.1
Mycobacteroides abscessus,GCF_000239035.1
Mycobacteroides abscessus,GCF_000239055.1
Mycobacteroides abscessus,GCF_000270665.1
Mycobacteroides abscessus,GCF_000497265.2
Mycobacteroides abscessus,GCF_001792615.1
Mycobacteroides abscessus,GCF_001792625.1
Mycobacteroides abscessus,GCF_001942505.1
Mycobacteroides abscessus,GCF_002013835.1
Mycobacteroides abscessus,GCF_002086375.1
Mycobacteroides abscessus,GCF_002086525.1
Mycobacteroides abscessus,GCF_003609715.1
Mycobacteroides abscessus,GCF_006409125.1
Mycobacteroides abscessus,GCF_900453225.1
Listeria seeligeri,GCF_000027145.1
Vibrio alginolyticus,GCF_000354175.2
Vibrio alginolyticus,GCF_000467145.1
Vibrio alginolyticus,GCF_001471275.2
Vibrio alginolyticus,GCF_900460285.1
Burkholderia contaminans,GCF_000987075.1
Burkholderia contaminans,GCF_001758385.2
Klebsiella quasipneumoniae,GCF_000613225.1
Klebsiella quasipneumoniae,GCF_000751755.1
